time, GYRO_X, GYRO_Y, GYRO_Z, ACCEL_X, ACCEL_Y, ACCEL_Z, GYRO_ROT_X, GYRO_ROT_Y, MOUSE_X, MOUSE_Y, Laser_Distance, Speed_L, Speed_R
1665052325.6874926,-0.04052734375,0.021240234375,0.942138671875,-15.15267175572519,-6.572519083969466,-4.66412213740458,1.2903045862574605,2.462510431237823,-400,-35241,-1,0,0
1665052325.707041,-0.037109375,-0.321044921875,0.953125,-15.320610687022901,-0.6870229007633588,-11.618320610687023,-18.60215248536649,2.1131128248008944,-408,-35515,-1,0,0
1665052325.7245634,0.1240234375,-0.387939453125,0.88623046875,0.9770992366412213,1.4961832061068703,-4.702290076335878,-23.437528349369256,-7.3054817091757185,-412,-35670,-1,0,0
1665052325.7416742,0.026611328125,-0.40576171875,0.941650390625,4.580152671755725,1.916030534351145,-3.030534351145038,-23.303133823245915,-1.4866832485520394,-412,-35822,-1,0,0
1665052325.7585669,0.0146484375,-0.228759765625,0.94677734375,8.396946564885496,-4.740458015267175,4.519083969465649,-13.581866684671125,-0.8616135914362604,-414,-35925,-1,0,0
1665052325.7755167,0.09912109375,-0.070068359375,1.000244140625,10.068702290076336,3.4656488549618323,-8.51908396946565,-3.98762708875528,-5.645611718282818,-421,-35996,-1,0,0
1665052325.7881086,0.003662109375,0.116943359375,0.91748046875,12.908396946564885,-3.0,-3.404580152671756,7.263775834198811,-0.22685864484381318,-421,-35996,-1,0,0
1665052325.8100362,-0.011474609375,0.107666015625,0.83544921875,-8.083969465648854,-3.2213740458015265,0.9389312977099237,7.342662729670455,0.7804352280127058,-423,-36040,-1,0,0
1665052325.8265948,0.07763671875,-0.122802734375,1.02197265625,-5.854961832061068,1.7557251908396947,0.816793893129771,-6.832448614519053,-4.313363157412275,-425,-36060,-1,0,0
1665052325.843459,-0.02490234375,-0.158203125,0.91064453125,-0.030534351145038167,-0.7709923664122137,0.8091603053435115,-9.851823872201395,1.543306457202978,-427,-36086,-1,0,0
