time, GYRO_X, GYRO_Y, GYRO_Z, ACCEL_X, ACCEL_Y, ACCEL_Z, GYRO_ROT_X, GYRO_ROT_Y, MOUSE_X, MOUSE_Y, Laser_Distance, Speed_L, Speed_R
1665054394.8522015,0,0,0,0,0,0,0,0,0,0,66,0,0
1665054394.8572564,0,0,0,0,0,0,0,0,0,0,63,0,0
1665054394.9516263,0,0,0,0,0,0,0,0,0,0,66,0,0
1665054395.0514581,0,0,0,0,0,0,0,0,0,0,66,0,0
1665054395.1515877,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054395.2515092,0,0,0,0,0,0,0,0,0,0,65,0,0
1665054395.351636,0,0,0,0,0,0,0,0,0,0,62,0,0
1665054395.451368,0,0,0,0,0,0,0,0,0,0,66,0,0
1665054395.5514061,0,0,0,0,0,0,0,0,0,0,65,0,0
1665054395.6519134,0,0,0,0,0,0,0,0,0,0,66,0,0
1665054395.751789,0,0,0,0,0,0,0,0,0,0,66,0,0
1665054395.8516443,0,0,0,0,0,0,0,0,0,0,66,0,0
1665054395.9517035,0,0,0,0,0,0,0,0,0,0,65,0,0
1665054396.0517604,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054396.1518283,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054396.251773,0,0,0,0,0,0,0,0,0,0,63,0,0
1665054396.3517303,0,0,0,0,0,0,0,0,0,0,63,0,0
1665054396.4515538,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054396.5518126,0,0,0,0,0,0,0,0,0,0,63,0,0
1665054396.6519504,0,0,0,0,0,0,0,0,0,0,63,0,0
1665054396.751769,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054396.8518238,0,0,0,0,0,0,0,0,0,0,65,0,0
1665054396.9517994,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054397.0519576,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054397.1518998,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054397.25181,0,0,0,0,0,0,0,0,0,0,63,0,0
1665054397.351796,0,0,0,0,0,0,0,0,0,0,65,0,0
1665054397.4517984,0,0,0,0,0,0,0,0,0,0,65,0,0
1665054397.5519056,0,0,0,0,0,0,0,0,0,0,66,0,0
1665054397.6520586,0,0,0,0,0,0,0,0,0,0,63,0,0
1665054397.7518888,0,0,0,0,0,0,0,0,0,0,65,0,0
1665054397.8518548,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054397.9518497,0,0,0,0,0,0,0,0,0,0,65,0,0
1665054398.0519278,0,0,0,0,0,0,0,0,0,0,65,0,0
1665054398.1523745,0,0,0,0,0,0,0,0,0,0,67,0,0
1665054398.2519171,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054398.3519306,0,0,0,0,0,0,0,0,0,0,63,0,0
1665054398.4519658,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054398.551939,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054398.6522067,0,0,0,0,0,0,0,0,0,0,66,0,0
1665054398.752041,0,0,0,0,0,0,0,0,0,0,65,0,0
1665054398.8519707,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054398.9520302,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054399.0519435,0,0,0,0,0,0,0,0,0,0,62,0,0
1665054399.1520376,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054399.2519977,0,0,0,0,0,0,0,0,0,0,65,0,0
1665054399.3520112,0,0,0,0,0,0,0,0,0,0,65,0,0
1665054399.4520462,0,0,0,0,0,0,0,0,0,0,65,0,0
1665054399.551847,0,0,0,0,0,0,0,0,0,0,65,0,0
1665054399.651973,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054399.7521367,0,0,0,0,0,0,0,0,0,0,65,0,0
1665054399.8521032,0,0,0,0,0,0,0,0,0,0,67,0,0
1665054399.9521146,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054400.0520623,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054400.1522152,0,0,0,0,0,0,0,0,0,0,62,0,0
1665054400.252078,0,0,0,0,0,0,0,0,0,0,65,0,0
1665054400.3520875,0,0,0,0,0,0,0,0,0,0,63,0,0
1665054400.452134,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054400.5519688,0,0,0,0,0,0,0,0,0,0,63,0,0
1665054400.652082,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054400.7522433,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054400.8521235,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054400.952324,0,0,0,0,0,0,0,0,0,0,64,0,0
1665054401.0521772,0,0,0,0,0,0,0,0,0,0,63,0,0
1665054401.1523225,0,0,0,0,0,0,0,0,0,0,63,0,0
1665054401.2521937,0,0,0,0,0,0,0,0,0,0,63,0,0
1665054401.3522918,0,0,0,0,0,0,0,0,0,0,65,0,0
