time, GYRO_X, GYRO_Y, GYRO_Z, ACCEL_X, ACCEL_Y, ACCEL_Z, GYRO_ROT_X, GYRO_ROT_Y, MOUSE_X, MOUSE_Y, Laser_Distance, Speed_L, Speed_R
1665054137.2499266,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054137.3326066,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054137.432871,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054137.5328484,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054137.6328583,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054137.7328825,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054137.8328416,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054137.9328582,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054138.0328958,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054138.13286,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054138.2326012,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054138.332644,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054138.4327908,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054138.532891,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054138.6328418,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054138.7326245,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054138.832715,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054138.932941,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054139.032938,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054139.1325762,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054139.2325377,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054139.3328495,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054139.4326932,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054139.532956,0,0,0,0,0,0,0,0,0,0,61,0,0
1665054139.632889,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054139.7330658,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054139.8328545,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054139.9330037,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054140.0329938,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054140.1329222,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054140.232633,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054140.3327482,0,0,0,0,0,0,0,0,0,0,61,0,0
1665054140.4327178,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054140.5329635,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054140.6328933,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054140.7330198,0,0,0,0,0,0,0,0,0,0,62,0,0
1665054140.832901,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054140.9329302,0,0,0,0,0,0,0,0,0,0,63,0,0
1665054141.0329516,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054141.13268,0,0,0,0,0,0,0,0,0,0,61,0,0
1665054141.2329457,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054141.3329222,0,0,0,0,0,0,0,0,0,0,61,0,0
1665054141.4326696,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054141.532979,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054141.6329997,0,0,0,0,0,0,0,0,0,0,61,0,0
1665054141.733032,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054141.833048,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054141.93305,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054142.0330229,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054142.1330872,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054142.2330065,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054142.3327405,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054142.4328022,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054142.533177,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054142.6330767,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054142.7332153,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054142.8332424,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054142.9328601,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054143.0331,0,0,0,0,0,0,0,0,0,0,61,0,0
1665054143.133069,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054143.2330766,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054143.3332021,0,0,0,0,0,0,0,0,0,0,62,0,0
1665054143.4331017,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054143.5328894,0,0,0,0,0,0,0,0,0,0,61,0,0
1665054143.6331124,0,0,0,0,0,0,0,0,0,0,61,0,0
1665054143.7331572,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054143.8328311,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054143.9328418,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054144.033206,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054144.1331818,0,0,0,0,0,0,0,0,0,0,61,0,0
1665054144.233152,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054144.3328018,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054144.4328868,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054144.532965,0,0,0,0,0,0,0,0,0,0,61,0,0
1665054144.6332,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054144.7334218,0,0,0,0,0,0,0,0,0,0,61,0,0
1665054144.832953,0,0,0,0,0,0,0,0,0,0,61,0,0
1665054144.9328942,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054145.0332994,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054145.1332085,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054145.2332025,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054145.2594345,0,0,0,0,0,0,0,0,0,0,58,40.0,40.0
1665054145.3332038,0,0,0,0,0,0,0,0,0,0,60,40.0,40.0
1665054145.3771195,0,0,0,0,0,0,0,0,-1,-8,56,40.0,40.0
1665054145.394074,0,0,0,0,0,0,0,0,-4,-60,54,40.0,40.0
1665054145.4622273,0,0,0,0,0,0,0,0,-7,-233,57,40.0,40.0
1665054145.524099,0,0,0,0,0,0,0,0,-6,-237,65,40.0,40.0
1665054145.586929,0,0,0,0,0,0,0,0,-6,-237,64,40.0,40.0
1665054145.6499822,0,0,0,0,0,0,0,0,-8,-280,62,40.0,40.0
1665054145.7333245,0,0,0,0,0,0,0,0,-8,-280,58,40.0,40.0
1665054145.7730086,0,0,0,0,0,0,0,0,-10,-359,55,40.0,40.0
1665054145.8360252,0,0,0,0,0,0,0,0,-11,-360,64,40.0,40.0
1665054145.93329,0,0,0,0,0,0,0,0,-11,-360,66,40.0,40.0
1665054145.9990737,0,0,0,0,0,0,0,0,-12,-359,62,40.0,40.0
1665054146.0271325,0,0,0,0,0,0,0,0,-15,-357,57,40.0,40.0
1665054146.0892024,0,0,0,0,0,0,0,0,-6,-453,60,40.0,40.0
1665054146.1516893,0,0,0,0,0,0,0,0,-4,-485,66,40.0,40.0
1665054146.233192,0,0,0,0,0,0,0,0,-4,-485,61,40.0,40.0
1665054146.2786202,0,0,0,0,0,0,0,0,-3,-486,52,40.0,40.0
1665054146.3418677,0,0,0,0,0,0,0,0,4,-717,58,40.0,40.0
1665054146.404786,0,0,0,0,0,0,0,0,11,-1103,67,40.0,40.0
1665054146.472872,0,0,0,0,0,0,0,0,22,-1498,62,40.0,40.0
1665054146.5351155,0,0,0,0,0,0,0,0,21,-1739,56,40.0,40.0
1665054146.5981612,0,0,0,0,0,0,0,0,13,-1803,52,40.0,40.0
1665054146.6610003,0,0,0,0,0,0,0,0,13,-1803,65,40.0,40.0
1665054146.7334015,0,0,0,0,0,0,0,0,13,-1803,63,40.0,40.0
1665054146.7846136,0,0,0,0,0,0,0,0,13,-1806,60,40.0,40.0
1665054146.8474452,0,0,0,0,0,0,0,0,12,-1804,54,40.0,40.0
1665054146.9101877,0,0,0,0,0,0,0,0,15,-1799,61,40.0,40.0
1665054146.9731176,0,0,0,0,0,0,0,0,21,-1818,65,40.0,40.0
1665054147.035978,0,0,0,0,0,0,0,0,25,-1818,62,40.0,40.0
1665054147.1044679,0,0,0,0,0,0,0,0,23,-1843,59,40.0,40.0
1665054147.1674626,0,0,0,0,0,0,0,0,23,-1935,55,40.0,40.0
1665054147.2330503,0,0,0,0,0,0,0,0,23,-1935,66,40.0,40.0
1665054147.3330688,0,0,0,0,0,0,0,0,23,-1935,65,40.0,40.0
1665054147.3800318,0,0,0,0,0,0,0,0,25,-1935,65,40.0,40.0
1665054147.4199665,0,0,0,0,0,0,0,0,34,-1960,59,40.0,40.0
1665054147.482815,0,0,0,0,0,0,0,0,34,-1960,57,40.0,40.0
1665054147.546048,0,0,0,0,0,0,0,0,34,-1964,67,40.0,40.0
1665054147.6090512,0,0,0,0,0,0,0,0,34,-1974,63,40.0,40.0
1665054147.6721144,0,0,0,0,0,0,0,0,34,-1988,58,40.0,40.0
1665054147.7352753,0,0,0,0,0,0,0,0,49,-2115,50,40.0,40.0
1665054147.7974238,0,0,0,0,0,0,0,0,54,-2173,60,40.0,40.0
1665054147.8601022,0,0,0,0,0,0,0,0,49,-2383,65,40.0,40.0
1665054147.9231198,0,0,0,0,0,0,0,0,47,-2747,61,40.0,40.0
1665054147.9854763,0,0,0,0,0,0,0,0,46,-2787,54,40.0,40.0
1665054148.0478456,0,0,0,0,0,0,0,0,46,-2787,54,40.0,40.0
1665054148.1107624,0,0,0,0,0,0,0,0,44,-2961,65,40.0,40.0
1665054148.1734998,0,0,0,0,0,0,0,0,44,-2961,64,40.0,40.0
1665054148.2364075,0,0,0,0,0,0,0,0,40,-2964,58,40.0,40.0
1665054148.2993422,0,0,0,0,0,0,0,0,38,-2972,55,40.0,40.0
1665054148.3623652,0,0,0,0,0,0,0,0,36,-2990,62,40.0,40.0
1665054148.4254344,0,0,0,0,0,0,0,0,27,-3004,66,40.0,40.0
