time, GYRO_X, GYRO_Y, GYRO_Z, ACCEL_X, ACCEL_Y, ACCEL_Z, GYRO_ROT_X, GYRO_ROT_Y, MOUSE_X, MOUSE_Y, Laser_Distance, Speed_L, Speed_R
1665054224.672723,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054224.7376266,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054224.8380253,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054224.9378345,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054225.0378304,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054225.137692,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054225.2375133,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054225.3375423,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054225.4378133,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054225.5380058,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054225.6375227,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054225.7379696,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054225.8378057,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054225.9380276,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054226.0379758,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054226.1378512,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054226.237858,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054226.3379629,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054226.4379363,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054226.537685,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054226.6376443,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054226.737908,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054226.8379889,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054226.9380577,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054227.0380754,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054227.1379454,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054227.2380557,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054227.3379667,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054227.4380221,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054227.5376873,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054227.6376882,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054227.7381952,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054227.8382041,0,0,0,0,0,0,0,0,0,0,56,0,0
1665054227.9381294,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054228.0382118,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054228.138106,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054228.2381186,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054228.3380542,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054228.438068,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054228.5381184,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054228.6382048,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054228.7382274,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054228.8382595,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054228.9379306,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054229.0383117,0,0,0,0,0,0,0,0,0,0,60,0,0
1665054229.1382666,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054229.2381697,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054229.3379636,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054229.4379919,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054229.5382848,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054229.6382067,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054229.7383418,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054229.838094,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054229.9387228,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054230.0383387,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054230.138271,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054230.2382197,0,0,0,0,0,0,0,0,0,0,61,0,0
1665054230.338133,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054230.4383676,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054230.5382705,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054230.6383643,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054230.7384586,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054230.838067,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054230.9381018,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054231.038482,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054231.1383295,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054231.238351,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054231.338325,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054231.438367,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054231.5384367,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054231.6383364,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054231.7384043,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054231.8381374,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054231.9381187,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054232.0384734,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054232.138517,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054232.238545,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054232.3384554,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054232.4385207,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054232.5384657,0,0,0,0,0,0,0,0,0,0,56,0,0
1665054232.6383154,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054232.738344,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054232.838333,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054232.9385395,0,0,0,0,0,0,0,0,0,0,56,0,0
1665054233.038625,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054233.1386864,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054233.238549,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054233.3386073,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054233.438595,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054233.5386257,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054233.6383903,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054233.7387118,0,0,0,0,0,0,0,0,0,0,56,0,0
1665054233.8384318,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054233.9383757,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054234.0387716,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054234.138788,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054234.2387867,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054234.3386817,0,0,0,0,0,0,0,0,0,0,56,0,0
1665054234.4386935,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054234.538478,0,0,0,0,0,0,0,0,0,0,56,0,0
1665054234.6384835,0,0,0,0,0,0,0,0,0,0,56,0,0
1665054234.73847,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054234.838708,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054234.938853,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054235.0388713,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054235.1388206,0,0,0,0,0,0,0,0,0,0,56,0,0
1665054235.2388031,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054235.3388336,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054235.438728,0,0,0,0,0,0,0,0,0,0,56,0,0
1665054235.5387833,0,0,0,0,0,0,0,0,0,0,56,0,0
1665054235.6388083,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054235.666664,0,0,0,0,0,0,0,0,0,0,57,40.0,40.0
1665054235.738942,0,0,0,0,0,0,0,0,0,0,58,40.0,40.0
1665054235.761589,0,0,0,0,0,0,0,0,0,-9,55,40.0,40.0
1665054235.8385398,0,0,0,0,0,0,0,0,-3,-6,56,40.0,40.0
1665054235.8898604,0,0,0,0,0,0,0,0,-3,-6,62,40.0,40.0
1665054235.9528263,0,0,0,0,0,0,0,0,-2,-15,63,40.0,40.0
1665054236.038715,0,0,0,0,0,0,0,0,-2,-15,62,40.0,40.0
1665054236.1124783,0,0,0,0,0,0,0,0,-2,-22,56,40.0,40.0
1665054236.1405475,0,0,0,0,0,0,0,0,-2,-22,56,40.0,40.0
1665054236.2094371,0,0,0,0,0,0,0,0,-1,-22,66,40.0,40.0
1665054236.2664826,0,0,0,0,0,0,0,0,0,-22,65,40.0,40.0
1665054236.3291745,0,0,0,0,0,0,0,0,-2,-22,63,40.0,40.0
1665054236.3920455,0,0,0,0,0,0,0,0,-2,-22,58,40.0,40.0
1665054236.460744,0,0,0,0,0,0,0,0,-2,-23,59,40.0,40.0
1665054236.5238926,0,0,0,0,0,0,0,0,-3,-50,67,40.0,40.0
1665054236.586856,0,0,0,0,0,0,0,0,-4,-57,62,40.0,40.0
1665054236.6497338,0,0,0,0,0,0,0,0,-5,-61,56,40.0,40.0
1665054236.7127512,0,0,0,0,0,0,0,0,-4,-61,49,40.0,40.0
1665054236.7757387,0,0,0,0,0,0,0,0,-14,-174,61,40.0,40.0
1665054236.8386695,0,0,0,0,0,0,0,0,-13,-184,65,40.0,40.0
1665054236.9016342,0,0,0,0,0,0,0,0,-14,-344,63,40.0,40.0
1665054236.9646168,0,0,0,0,0,0,0,0,-13,-341,56,40.0,40.0
1665054237.027374,0,0,0,0,0,0,0,0,-14,-350,54,40.0,40.0
1665054237.0903845,0,0,0,0,0,0,0,0,-15,-386,63,40.0,40.0
1665054237.1531088,0,0,0,0,0,0,0,0,-15,-386,65,40.0,40.0
1665054237.226472,0,0,0,0,0,0,0,0,-18,-383,59,40.0,40.0
1665054237.2778916,0,0,0,0,0,0,0,0,-30,-385,57,40.0,40.0
1665054237.340787,0,0,0,0,0,0,0,0,-31,-387,56,40.0,40.0
