time, GYRO_X, GYRO_Y, GYRO_Z, ACCEL_X, ACCEL_Y, ACCEL_Z, GYRO_ROT_X, GYRO_ROT_Y, MOUSE_X, MOUSE_Y, Laser_Distance, Speed_L, Speed_R
1665054091.2979121,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054091.3133695,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054091.4134166,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054091.513855,0,0,0,0,0,0,0,0,0,0,56,0,0
1665054091.6140506,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054091.7140956,0,0,0,0,0,0,0,0,0,0,55,0,0
1665054091.8141055,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054091.9148984,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054092.0141907,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054092.1147127,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054092.214592,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054092.314608,0,0,0,0,0,0,0,0,0,0,56,0,0
1665054092.4144893,0,0,0,0,0,0,0,0,0,0,56,0,0
1665054092.514594,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054092.6150262,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054092.715056,0,0,0,0,0,0,0,0,0,0,56,0,0
1665054092.8151805,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054092.9152856,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054093.015366,0,0,0,0,0,0,0,0,0,0,56,0,0
1665054093.1154504,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054093.2155216,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054093.3153803,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054093.4154909,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054093.5155878,0,0,0,0,0,0,0,0,0,0,56,0,0
1665054093.616013,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054093.716091,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054093.8162146,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054093.916298,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054094.0163755,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054094.1164749,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054094.2166605,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054094.3166237,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054094.4168324,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054094.516584,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054094.6168811,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054094.7171547,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054094.8171134,0,0,0,0,0,0,0,0,0,0,56,0,0
1665054094.916929,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054095.0170772,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054095.1172976,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054095.2174122,0,0,0,0,0,0,0,0,0,0,56,0,0
1665054095.317454,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054095.4175355,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054095.5177212,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054095.6178043,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054095.7180157,0,0,0,0,0,0,0,0,0,0,56,0,0
1665054095.8180058,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054095.9181013,0,0,0,0,0,0,0,0,0,0,56,0,0
1665054096.0182207,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054096.1183052,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054096.2183008,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054096.3183978,0,0,0,0,0,0,0,0,0,0,57,0,0
1665054096.4184964,0,0,0,0,0,0,0,0,0,0,58,0,0
1665054096.5183861,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054096.6184292,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054096.7187822,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054096.8188279,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054096.9193103,0,0,0,0,0,0,0,0,0,0,59,0,0
1665054097.019027,0,0,0,0,0,0,0,0,0,0,58,0,0
