time, GYRO_X, GYRO_Y, GYRO_Z, ACCEL_X, ACCEL_Y, ACCEL_Z, GYRO_ROT_X, GYRO_ROT_Y, MOUSE_X, MOUSE_Y, Laser_Distance, Speed_L, Speed_R
1665053916.829194,0,0,0,0,0,0,0,0,0,0,60,0,0
1665053916.9122884,0,0,0,0,0,0,0,0,0,0,62,0,0
1665053917.0121906,0,0,0,0,0,0,0,0,0,0,59,0,0
1665053917.1121745,0,0,0,0,0,0,0,0,0,0,62,0,0
1665053917.2121747,0,0,0,0,0,0,0,0,0,0,62,0,0
1665053917.3120284,0,0,0,0,0,0,0,0,0,0,61,0,0
1665053917.4119291,0,0,0,0,0,0,0,0,0,0,59,0,0
1665053917.5122607,0,0,0,0,0,0,0,0,0,0,61,0,0
1665053917.6122017,0,0,0,0,0,0,0,0,0,0,62,0,0
1665053917.7123706,0,0,0,0,0,0,0,0,0,0,61,0,0
1665053917.812251,0,0,0,0,0,0,0,0,0,0,60,0,0
1665053917.912391,0,0,0,0,0,0,0,0,0,0,62,0,0
1665053918.0123053,0,0,0,0,0,0,0,0,0,0,62,0,0
1665053918.112441,0,0,0,0,0,0,0,0,0,0,62,0,0
1665053918.2123842,0,0,0,0,0,0,0,0,0,0,61,0,0
1665053918.3120427,0,0,0,0,0,0,0,0,0,0,63,0,0
1665053918.4124768,0,0,0,0,0,0,0,0,0,0,60,0,0
1665053918.51227,0,0,0,0,0,0,0,0,0,0,60,0,0
1665053918.6119978,0,0,0,0,0,0,0,0,0,0,60,0,0
1665053918.712356,0,0,0,0,0,0,0,0,0,0,60,0,0
1665053918.8125706,0,0,0,0,0,0,0,0,0,0,61,0,0
1665053918.9126062,0,0,0,0,0,0,0,0,0,0,60,0,0
1665053919.0125058,0,0,0,0,0,0,0,0,0,0,60,0,0
1665053919.112401,0,0,0,0,0,0,0,0,0,0,59,0,0
1665053919.2123933,0,0,0,0,0,0,0,0,0,0,61,0,0
1665053919.3123174,0,0,0,0,0,0,0,0,0,0,60,0,0
1665053919.4123104,0,0,0,0,0,0,0,0,0,0,60,0,0
1665053919.5124102,0,0,0,0,0,0,0,0,0,0,60,0,0
1665053919.612101,0,0,0,0,0,0,0,0,0,0,59,0,0
1665053919.712468,0,0,0,0,0,0,0,0,0,0,61,0,0
1665053919.8125923,0,0,0,0,0,0,0,0,0,0,59,0,0
